fichier,segment_id,t_start_s,t_end_s,duree_ms,label
Audio_1,0,0.0,0.5,500,bruit_ambiant
Audio_1,1,0.5,1.0,500,bruit_ambiant
Audio_1,2,1.0,1.5,500,bruit_ambiant
Audio_1,3,1.5,2.0,500,bruit_ambiant
Audio_1,4,2.0,2.5,500,bruit_ambiant
Audio_1,5,2.5,3.0,500,bruit_ambiant
Audio_1,6,3.0,3.5,500,bruit_ambiant
Audio_1,7,3.5,4.0,500,bruit_ambiant
Audio_1,8,4.0,4.5,500,bruit_ambiant
Audio_1,9,4.5,5.0,500,bruit_ambiant
Audio_1,10,5.0,5.5,500,bruit_ambiant
Audio_1,11,5.5,6.0,500,bruit_ambiant
Audio_1,12,6.0,6.5,500,bruit_ambiant
Audio_1,13,6.5,7.0,500,bruit_ambiant
Audio_1,14,7.0,7.5,500,miction_active
Audio_1,15,7.5,8.0,500,miction_active
Audio_1,16,8.0,8.5,500,miction_active
Audio_1,17,8.5,9.0,500,miction_active
Audio_1,18,9.0,9.5,500,miction_active
Audio_1,19,9.5,10.0,500,miction_active
Audio_1,20,10.0,10.5,500,miction_active
Audio_1,21,10.5,11.0,500,miction_active
Audio_1,22,11.0,11.5,500,miction_active
Audio_1,23,11.5,12.0,500,miction_active
Audio_1,24,12.0,12.5,500,miction_active
Audio_1,25,12.5,13.0,500,miction_active
Audio_1,26,13.0,13.5,500,miction_active
Audio_1,27,13.5,14.0,500,miction_active
Audio_1,28,14.0,14.5,500,miction_active
Audio_1,29,14.5,15.0,500,miction_active
Audio_1,30,15.0,15.5,500,miction_active
Audio_1,31,15.5,16.0,500,miction_active
Audio_1,32,16.0,16.5,500,miction_active
Audio_1,33,16.5,17.0,500,miction_active
Audio_1,34,17.0,17.5,500,miction_active
Audio_1,35,17.5,18.0,500,miction_active
Audio_1,36,18.0,18.5,500,miction_active
Audio_1,37,18.5,19.0,500,miction_active
Audio_1,38,19.0,19.5,500,miction_active
Audio_1,39,19.5,20.0,500,miction_active
Audio_1,40,20.0,20.5,500,miction_active
Audio_1,41,20.5,21.0,500,miction_active
Audio_1,42,21.0,21.5,500,miction_active
Audio_1,43,21.5,22.0,500,miction_active
Audio_1,44,22.0,22.5,500,miction_active
Audio_1,45,22.5,23.0,500,miction_active
Audio_1,46,23.0,23.5,500,miction_active
Audio_1,47,23.5,24.0,500,miction_active
Audio_1,48,24.0,24.5,500,miction_active
Audio_1,49,24.5,25.0,500,miction_active
Audio_1,50,25.0,25.5,500,miction_active
Audio_1,51,25.5,26.0,500,silence
Audio_1,52,26.0,26.5,500,silence
Audio_1,53,26.5,27.0,500,silence
Audio_1,54,27.0,27.5,500,silence
Audio_1,55,27.5,28.0,500,silence
Audio_1,56,28.0,28.5,500,silence
Audio_1,57,28.5,29.0,500,silence
Audio_1,58,29.0,29.5,500,silence
