fichier,duree_miction_s,nb_episodes,type_miction,duree_max_episode,duree_moy_episode,ratio_miction,chasse_detectee,n_segs_total,n_segs_miction,n_segs_silence,n_segs_ambiant,n_segs_chasse
Audio_1,8.5,7,jet_hache,4.0,1.21,0.202,True,84,17,41,9,17
Audio_10,14.5,4,jet_hache,12.5,3.62,0.453,True,64,29,3,23,9
Audio_11,12.5,2,jet_faible,12.0,6.25,0.362,True,69,25,27,11,6
Audio_12,14.0,5,jet_hache,7.0,2.8,0.354,True,79,28,3,41,7
Audio_13,12.5,2,jet_faible,12.0,6.25,0.362,True,69,25,27,11,6
Audio_14,16.0,1,jet_continu,16.0,16.0,0.333,True,96,32,15,36,13
Audio_15,12.0,4,jet_hache,10.5,3.0,0.324,True,74,24,0,41,9
Audio_16,17.0,1,jet_continu,17.0,17.0,0.4,True,85,34,19,27,5
Audio_17,16.0,3,jet_hache,15.0,5.33,0.615,False,52,32,0,20,0
Audio_18,23.5,2,jet_faible,23.0,11.75,0.627,True,75,47,0,23,5
Audio_19,9.0,3,jet_hache,8.0,3.0,0.295,True,61,18,29,1,13
Audio_2,19.5,3,jet_hache,10.0,6.5,0.406,True,96,39,14,26,17
Audio_20,16.0,3,jet_hache,14.5,5.33,0.33,True,97,32,18,37,10
Audio_3,9.0,3,jet_hache,8.0,3.0,0.295,True,61,18,29,1,13
Audio_4,21.0,1,jet_continu,21.0,21.0,0.385,True,109,42,26,18,23
Audio_5,15.0,2,jet_faible,14.0,7.5,0.341,True,88,30,5,38,15
Audio_6,10.0,4,jet_hache,8.0,2.5,0.364,False,55,20,1,34,0
Audio_7,17.0,1,jet_continu,17.0,17.0,0.4,True,85,34,19,27,5
Audio_8,19.5,4,jet_hache,10.5,4.88,0.459,True,85,39,24,9,13
Audio_9,16.0,7,jet_hache,7.0,2.29,0.438,True,73,32,15,15,11
Bruit de pipi (mp3cut.net),24.0,2,jet_faible,14.5,12.0,0.727,False,66,48,13,5,0
